Id,avg_total_steps,avg_very_active_minutes,avg_moderate_minutes,avg_light_minutes,avg_sedentary_minutes,avg_calories_burned,avg_sleep_time,avg_time_in_bed
1503960366,12116,38,19,219,848,1816,360,383
1644430081,7282,9,21,178,1161,2811,294,346
1844505072,2580,0,1,115,1206,1573,652,961
1927972279,916,1,0,38,1317,2172,417,437
2026352035,5566,0,0,256,689,1540,506,537
2320127002,4716,1,2,198,1220,1724,61,69
2347167796,9519,13,20,252,687,2043,446,491
3977333714,10984,18,61,174,707,1513,293,461
4020332650,2267,5,5,76,1237,2385,349,379
4319703577,7268,3,12,228,735,2037,476,501
4388161847,10813,23,20,229,836,3093,403,426
4445114986,4796,6,1,209,829,2186,385,416
4558609924,7685,10,13,284,1093,2033,127,140
4702921684,8572,5,26,237,766,2965,421,441
5553957443,8612,23,13,206,668,1875,463,505
5577150313,8304,87,29,147,754,3359,432,460
6117666160,7046,1,2,288,796,2261,478,510
6775888955,2519,11,14,40,1299,2131,349,369
6962181067,9794,22,18,245,662,1982,448,466
7007744171,11323,31,16,280,1055,2544,68,71
7086361926,9371,42,25,143,850,2566,453,466
8053475328,14763,85,9,150,1148,2945,297,301
8378563200,8717,58,10,156,716,3436,443,483
8792009665,1853,0,4,91,1060,1962,435,453
